sat_id,target_col,d1,d2,valid_r
443,x,2.0,1.0,0.95
443,y,2.0,1.0,0.95
443,z,2.0,1.0,0.95
443,Vx,2.0,1.0,0.95
443,Vy,2.0,1.0,0.95
443,Vz,2.0,1.0,0.95
464,x,2.0,1.0,0.95
464,y,2.0,1.0,0.95
464,z,2.0,1.0,0.95
464,Vx,2.0,1.0,0.95
464,Vy,2.0,1.0,0.95
464,Vz,2.0,1.0,0.95
486,x,2.0,1.0,0.95
486,y,2.0,1.0,0.95
486,z,2.0,1.0,0.95
486,Vx,2.0,1.0,0.95
486,Vy,2.0,1.0,0.95
486,Vz,2.0,1.0,0.95
514,x,2.0,1.0,0.95
514,y,2.0,1.0,0.95
514,z,2.0,1.0,0.95
514,Vx,2.0,1.0,0.95
514,Vy,2.0,1.0,0.95
514,Vz,2.0,1.0,0.95
587,x,2.0,1.0,0.95
587,y,2.0,1.0,0.95
587,z,2.0,1.0,0.95
587,Vx,2.0,1.0,0.95
587,Vy,2.0,1.0,0.95
587,Vz,2.0,1.0,0.95
253,x,2.0,1.0,0.6
253,y,2.0,1.0,0.6
253,z,2.0,1.0,0.6
253,Vx,2.0,1.0,0.6
253,Vy,2.0,1.0,0.6
253,Vz,2.0,1.0,0.6
372,x,2.0,1.0,0.6
372,y,2.0,1.0,0.6
372,z,2.0,1.0,0.6
372,Vx,2.0,1.0,0.6
372,Vy,2.0,1.0,0.6
372,Vz,2.0,1.0,0.6
473,x,2.0,1.0,0.6
473,y,2.0,1.0,0.6
473,z,2.0,1.0,0.6
473,Vx,2.0,1.0,0.6
473,Vy,2.0,1.0,0.6
473,Vz,2.0,1.0,0.6
523,x,2.0,1.0,0.6
523,y,2.0,1.0,0.6
523,z,2.0,1.0,0.6
523,Vx,2.0,1.0,0.6
523,Vy,2.0,1.0,0.6
523,Vz,2.0,1.0,0.6
470,x,2.0,1.0,0.4
470,y,2.0,1.0,0.4
470,z,2.0,1.0,0.4
470,Vx,2.0,1.0,0.4
470,Vy,2.0,1.0,0.4
470,Vz,2.0,1.0,0.4
37,x,1.0,1.0,500.0
37,y,1.0,1.0,500.0
37,z,1.0,1.0,500.0
37,Vx,1.0,1.0,500.0
37,Vy,1.0,1.0,500.0
37,Vz,1.0,1.0,500.0
127,x,1.0,1.0,500.0
127,y,1.0,1.0,500.0
127,z,1.0,1.0,500.0
127,Vx,1.0,1.0,500.0
127,Vy,1.0,1.0,500.0
127,Vz,1.0,1.0,500.0
460,x,1.0,1.0,500.0
460,y,1.0,1.0,500.0
460,z,1.0,1.0,500.0
460,Vx,1.0,1.0,500.0
460,Vy,1.0,1.0,500.0
460,Vz,1.0,1.0,500.0
204,x,2.0,1.0,0.95
204,y,2.0,1.0,0.95
204,z,2.0,1.0,0.95
204,Vx,2.0,1.0,0.95
204,Vy,2.0,1.0,0.95
204,Vz,2.0,1.0,0.95
355,x,2.0,1.0,0.95
355,y,2.0,1.0,0.95
355,z,2.0,1.0,0.95
355,Vx,2.0,1.0,0.95
355,Vy,2.0,1.0,0.95
355,Vz,2.0,1.0,0.95
361,x,2.0,1.0,0.95
361,y,2.0,1.0,0.95
361,z,2.0,1.0,0.95
361,Vx,2.0,1.0,0.95
361,Vy,2.0,1.0,0.95
361,Vz,2.0,1.0,0.95
496,x,2.0,1.0,0.95
496,y,2.0,1.0,0.95
496,z,2.0,1.0,0.95
496,Vx,2.0,1.0,0.95
496,Vy,2.0,1.0,0.95
496,Vz,2.0,1.0,0.95
339,x,2.0,1.0,0.6
339,y,2.0,1.0,0.6
339,z,2.0,1.0,0.6
339,Vx,2.0,1.0,0.6
339,Vy,2.0,1.0,0.6
339,Vz,2.0,1.0,0.6
586,x,2.0,1.0,0.4
586,y,2.0,1.0,0.4
586,z,2.0,1.0,0.4
586,Vx,2.0,1.0,0.4
586,Vy,2.0,1.0,0.4
586,Vz,2.0,1.0,0.4
478,x,1.0,1.0,250.0
478,y,1.0,1.0,250.0
478,z,1.0,1.0,250.0
478,Vx,1.0,1.0,250.0
478,Vy,1.0,1.0,250.0
478,Vz,1.0,1.0,250.0
249,x,1.0,1.0,500.0
249,y,1.0,1.0,500.0
249,z,1.0,1.0,500.0
249,Vx,1.0,1.0,500.0
249,Vy,1.0,1.0,500.0
249,Vz,1.0,1.0,500.0
289,x,1.0,1.0,500.0
289,y,1.0,1.0,500.0
289,z,1.0,1.0,500.0
289,Vx,1.0,1.0,500.0
289,Vy,1.0,1.0,500.0
289,Vz,1.0,1.0,500.0
308,x,1.0,1.0,500.0
308,y,1.0,1.0,500.0
308,z,1.0,1.0,500.0
308,Vx,1.0,1.0,500.0
308,Vy,1.0,1.0,500.0
308,Vz,1.0,1.0,500.0
321,x,1.0,1.0,500.0
321,y,1.0,1.0,500.0
321,z,1.0,1.0,500.0
321,Vx,1.0,1.0,500.0
321,Vy,1.0,1.0,500.0
321,Vz,1.0,1.0,500.0
459,x,1.0,1.0,500.0
459,y,1.0,1.0,500.0
459,z,1.0,1.0,500.0
459,Vx,1.0,1.0,500.0
459,Vy,1.0,1.0,500.0
459,Vz,1.0,1.0,500.0
492,x,1.0,1.0,500.0
492,y,1.0,1.0,500.0
492,z,1.0,1.0,500.0
492,Vx,1.0,1.0,500.0
492,Vy,1.0,1.0,500.0
492,Vz,1.0,1.0,500.0
582,x,1.0,1.0,500.0
582,y,1.0,1.0,500.0
582,z,1.0,1.0,500.0
582,Vx,1.0,1.0,500.0
582,Vy,1.0,1.0,500.0
582,Vz,1.0,1.0,500.0
